codex-desktop-019fe75c-root 2026-08-09T12:47:39-0400 mower plan=2026-08-09-outbox-wire-hydration
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_bounded_outbox 2026-08-10T05:04:35Z mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_supersession_finish 2026-08-10T07:20:00-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/scribe_pipeline_write_shape_review 2026-08-10T11:43:27-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_deferred_values 2026-08-10T13:45:41-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_deferred_values 2026-08-10T14:16:53-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_deferred_values 2026-08-10T19:33:43Z mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_deferred_values 2026-08-10T16:06:59-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/terminal_component_index_frontier 2026-08-10T16:06:32-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/retry_window_implementation 2026-08-10T16:41:11-0400 mower plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/retry_window_implementation 2026-08-10T17:31:09-0400 mower server-apply-rebase plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/streaming_storage_upload 2026-08-10T19:47:38-0400 mower upload-section-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_revision_domains 2026-08-10T21:13:49-0400 mower cache-revision-domains plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/instant_diff_compile_audit 2026-08-11T01:38:17-0400 mower attribute-revision-cas-callers plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/infinite_query_setup_cancellation 2026-08-11T05:08:00-0400 mower setup-cancellation-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/deferred_hydration_exact_lease 2026-08-11T07:00:00-0400 mower deferred-hydration-lease-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/infinite_query_terminal_cleanup 2026-08-11T05:36:20-0400 mower infinite-query-test-hooks-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/standard_query_exact_lease 2026-08-11T06:55:53-0400 mower standard-observe-section-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/standard_observation_lifecycle 2026-08-11T07:08:22-0400 mower standard-observation-setup-and-lease-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/exact_close_production 2026-08-11T10:27:34-0400 mower exact-runtime-close-lifecycle-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/query_once_exact_cleanup 2026-08-11T10:46:56-0400 mower query-once-live-exact-cleanup-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/explicit_flush_production 2026-08-11T14:58:40Z mower explicit-flush-owner-only plan=2026-08-09-bounded-intent-outbox-memory
codex-desktop/019fe994-1250-7b42-825e-9b75836d9173/root/storage_lifecycle_production 2026-08-11T15:23:28Z mower storage-only plan=2026-08-09-bounded-intent-outbox-memory
grok-build-wrap-perf 2026-08-11T16:05:58Z mower plan=2026-08-11-suite-green-and-latency suite-green
